scrap_id,folder,scrap_area_in2,fixed_main_triangles,fixed_main_recovery_pct,fixed_anti_triangles,fixed_anti_recovery_pct,best_orientation_triangles,best_orientation_recovery_pct,greedy_triangles,greedy_recovery_pct
bag1_scrap9_Polygon-3,bag1,160.4398,236,73.5478,240,74.7944,240,74.7944,240,74.7944
bag1_scrap9_Polygon-2,bag1,168.9545,252,74.5763,254,75.1682,254,75.1682,254,75.1682
bag1_scrap5_Polygon-5,bag1,28.3991,50,88.0310,50,88.0310,50,88.0310,50,88.0310
bag1_scrap5_Polygon-3,bag1,51.4169,90,87.5199,90,87.5199,90,87.5199,90,87.5199
bag1_scrap5_Polygon-6,bag1,38.8354,56,72.0991,56,72.0991,56,72.0991,56,72.0991
bag1_scrap5_Polygon-7,bag1,154.4542,275,89.0232,274,88.6994,275,89.0232,275,89.0232
bag1_scrap5_Polygon-2,bag1,57.1075,99,86.6786,98,85.8030,99,86.6786,99,86.6786
bag1_scrap5_Polygon-4,bag1,28.4587,50,87.8466,50,87.8466,50,87.8466,50,87.8466
bag1_scrap8_Polygon-3,bag1,159.8816,237,74.1174,235,73.4919,237,74.1174,237,74.1174
bag1_scrap8_Polygon-4,bag1,160.9671,242,75.1706,241,74.8600,242,75.1706,243,75.4813
bag1_scrap8_Polygon-2,bag1,92.0564,130,70.6089,128,69.5226,130,70.6089,130,70.6089
bag1_scrap8_Polygon-5,bag1,136.9152,218,79.6113,218,79.6113,218,79.6113,220,80.3417
bag1_scrap2_Polygon-2,bag1,158.7974,239,75.2531,238,74.9383,239,75.2531,239,75.2531
bag1_scrap2_Polygon-6,bag1,156.2697,230,73.5907,232,74.2306,232,74.2306,232,74.2306
bag1_scrap2_Polygon-5,bag1,34.9565,57,81.5298,56,80.0995,57,81.5298,57,81.5298
bag1_scrap2_Polygon-3,bag1,98.2875,154,78.3416,156,79.3590,156,79.3590,156,79.3590
bag1_scrap2_Polygon-4,bag1,44.6530,74,82.8612,75,83.9809,75,83.9809,75,83.9809
bag1_scrap6_Polygon-5,bag1,187.2892,324,86.4973,325,86.7642,325,86.7642,325,86.7642
bag1_scrap6_Polygon-2,bag1,159.3851,272,85.3279,272,85.3279,272,85.3279,272,85.3279
bag1_scrap6_Polygon-4,bag1,88.8815,152,85.5071,152,85.5071,152,85.5071,152,85.5071
bag1_scrap6_Polygon-3,bag1,43.9435,69,78.5098,68,77.3720,69,78.5098,69,78.5098
bag1_scrap7_Polygon-3,bag1,107.6437,192,89.1831,192,89.1831,192,89.1831,192,89.1831
bag1_scrap7_Polygon-6,bag1,62.3181,103,82.6405,102,81.8382,103,82.6405,103,82.6405
