scrap_id,folder,scrap_area_in2,isosceles_triangles,isosceles_recovery_pct,306090_triangles,306090_recovery_pct,equilateral_triangles,equilateral_recovery_pct
etsybag_scrap10_Polygon-3,etsybag,6.47,8,61.78,6,46.34,6,46.34
etsybag_scrap10_Polygon-24,etsybag,6.36,8,62.86,6,47.15,6,47.15
etsybag_scrap10_Polygon-27,etsybag,6.13,8,65.30,6,48.98,6,48.98
etsybag_scrap10_Polygon-32,etsybag,9.17,12,65.40,12,65.40,12,65.40
etsybag_scrap10_Polygon-17,etsybag,6.52,8,61.35,6,46.01,6,46.01
etsybag_scrap10_Polygon-21,etsybag,6.20,8,64.54,6,48.41,6,48.41
etsybag_scrap10_Polygon-25,etsybag,6.27,8,63.76,6,47.82,6,47.82
etsybag_scrap10_Polygon-15,etsybag,5.93,8,67.48,6,50.61,6,50.61
etsybag_scrap10_Polygon-12,etsybag,5.94,8,67.32,6,50.49,6,50.49
etsybag_scrap10_Polygon-4,etsybag,6.59,8,60.70,6,45.53,6,45.53
etsybag_scrap10_Polygon-2,etsybag,5.73,8,69.84,6,52.38,6,52.38
etsybag_scrap10_Polygon-8,etsybag,5.90,8,67.81,5,42.38,6,50.86
etsybag_scrap10_Polygon-6,etsybag,5.82,8,68.70,6,51.52,6,51.52
etsybag_scrap10_Polygon-30,etsybag,5.96,8,67.09,5,41.93,5,41.93
etsybag_scrap10_Polygon-20,etsybag,5.86,8,68.25,6,51.19,6,51.19
etsybag_scrap10_Polygon-23,etsybag,6.27,8,63.75,6,47.81,6,47.81
etsybag_scrap10_Polygon-7,etsybag,5.80,8,68.99,6,51.74,6,51.74
etsybag_scrap10_Polygon-31,etsybag,9.36,11,58.77,14,74.79,12,64.11
etsybag_scrap10_Polygon-13,etsybag,5.90,8,67.75,5,42.34,6,50.81
etsybag_scrap10_Polygon-16,etsybag,6.31,8,63.34,6,47.51,6,47.51
etsybag_scrap10_Polygon-29,etsybag,6.91,8,57.91,6,43.43,8,57.91
etsybag_scrap10_Polygon-26,etsybag,5.89,8,67.94,6,50.96,6,50.96
etsybag_scrap1_Polygon-2,etsybag,6.42,8,62.29,6,46.71,6,46.71
etsybag_scrap1_Polygon-7,etsybag,25.43,40,78.65,42,82.58,36,70.78
etsybag_scrap1_Polygon-4,etsybag,6.20,8,64.54,6,48.40,6,48.40
etsybag_scrap1_Polygon-6,etsybag,6.32,8,63.33,6,47.50,6,47.50
etsybag_scrap1_Polygon-3,etsybag,12.61,16,63.45,12,47.59,14,55.52
etsybag_scrap1_Polygon-5,etsybag,6.02,8,66.45,6,49.84,6,49.84
etsybag_scrap1_Polygon-8,etsybag,15.01,15,49.95,7,23.31,14,46.62
etsybag_scrap4_Polygon-2,etsybag,195.15,345,88.40,332,85.06,340,87.11
etsybag_scrap4_Polygon-3,etsybag,53.05,87,82.00,90,84.83,81,76.34
etsybag_scrap4_Polygon-5,etsybag,152.26,240,78.81,210,68.96,236,77.50
etsybag_scrap4_Polygon-4,etsybag,147.23,229,77.77,207,70.30,236,80.15
etsybag_scrap7_Polygon-8,etsybag,59.71,101,84.58,92,77.04,94,78.72
etsybag_scrap7_Polygon-3,etsybag,39.91,64,80.18,66,82.68,60,75.16
etsybag_scrap7_Polygon-6,etsybag,44.69,72,80.55,71,79.44,71,79.44
etsybag_scrap7_Polygon-2,etsybag,5.80,8,68.94,4,34.47,6,51.71
etsybag_scrap7_Polygon-4,etsybag,12.83,16,62.36,18,70.15,17,66.26
etsybag_scrap7_Polygon-5,etsybag,76.54,135,88.19,132,86.23,122,79.70
etsybag_scrap7_Polygon-7,etsybag,41.08,64,77.90,66,80.33,60,73.03
etsybag_scrap3_Polygon-2,etsybag,34.08,38,55.74,52,76.28,36,52.81
etsybag_scrap3_Polygon-4,etsybag,44.81,70,78.11,69,77.00,71,79.23
etsybag_scrap3_Polygon-5,etsybag,33.35,51,76.46,51,76.46,51,76.46
etsybag_scrap3_Polygon-6,etsybag,21.32,30,70.36,29,68.01,31,72.70
etsybag_scrap3_Polygon-7,etsybag,78.03,138,88.43,126,80.74,125,80.10
etsybag_scrap3_Polygon-3,etsybag,41.33,60,72.58,71,85.89,66,79.84
etsybag_scrap8_Polygon-6,etsybag,24.91,32,64.23,36,72.26,39,78.29
etsybag_scrap8_Polygon-9,etsybag,25.27,32,63.32,36,71.23,40,79.15
etsybag_scrap8_Polygon-3,etsybag,25.55,33,64.58,36,70.45,40,78.28
etsybag_scrap8_Polygon-7,etsybag,25.68,32,62.30,36,70.09,40,77.88
etsybag_scrap8_Polygon-4,etsybag,26.64,50,93.86,36,67.58,40,75.08
etsybag_scrap8_Polygon-2,etsybag,26.47,35,66.12,36,68.01,40,75.57
etsybag_scrap8_Polygon-10,etsybag,25.29,41,81.07,36,71.18,40,79.09
etsybag_scrap8_Polygon-5,etsybag,25.53,41,80.29,36,70.50,40,78.33
etsybag_scrap8_Polygon-8,etsybag,25.70,33,64.21,36,70.04,40,77.83
etsybag_scrap2_Polygon-2,etsybag,104.85,189,90.13,180,85.84,175,83.45
etsybag_scrap2_Polygon-6,etsybag,5.88,8,68.00,6,51.00,6,51.00
etsybag_scrap2_Polygon-7,etsybag,6.00,8,66.64,6,49.98,6,49.98
etsybag_scrap2_Polygon-5,etsybag,25.15,32,63.62,36,71.57,40,79.53
etsybag_scrap2_Polygon-9,etsybag,6.40,8,62.52,6,46.89,6,46.89
etsybag_scrap2_Polygon-3,etsybag,25.67,39,75.95,36,70.11,40,77.90
etsybag_scrap2_Polygon-4,etsybag,25.03,32,63.94,36,71.93,40,79.92
etsybag_scrap2_Polygon-8,etsybag,6.37,8,62.79,6,47.09,6,47.09
etsybag_scrap5_Polygon-3,etsybag,53.82,90,83.62,98,91.05,90,83.62
etsybag_scrap5_Polygon-2,etsybag,386.69,720,93.10,727,94.00,715,92.45
etsybag_scrap5_Polygon-4,etsybag,22.17,32,72.15,36,81.17,29,65.39
etsybag_scrap6_Polygon-2,etsybag,135.77,238,87.65,240,88.38,235,86.54
etsybag_scrap6_Polygon-4,etsybag,220.39,375,85.07,337,76.45,372,84.39
etsybag_scrap6_Polygon-3,etsybag,92.79,164,88.37,159,85.68,153,82.45
etsybag_scrap9_Polygon-4,etsybag,14.82,22,74.25,18,60.75,18,60.75
etsybag_scrap9_Polygon-3,etsybag,87.76,150,85.46,143,81.47,140,79.76
etsybag_scrap9_Polygon-2,etsybag,181.31,322,88.80,310,85.49,330,91.01
linen_scrap2-3_Polygon6,linen,41.49,68,81.96,62,74.72,60,72.31
linen_scrap2-3_Polygon2,linen,48.11,75,77.95,85,88.34,80,83.14
linen_scrap2-3_Polygon4,linen,59.54,110,92.37,108,90.69,96,80.61
linen_scrap2-3_Polygon3,linen,52.33,84,80.25,80,76.43,83,79.30
linen_scrap2-3_Polygon5,linen,41.40,64,77.30,60,72.47,62,74.88
linen_scrap3-1_Polygon4,linen,47.37,70,73.89,71,74.95,78,82.34
linen_scrap3-1_Polygon6,linen,39.65,64,80.70,58,73.13,60,75.65
linen_scrap3-1_Polygon7,linen,51.04,84,82.30,80,78.38,81,79.36
linen_scrap3-1_Polygon2,linen,38.22,60,78.49,56,73.25,56,73.25
linen_scrap3-1_Polygon8,linen,49.35,80,81.06,81,82.07,83,84.10
linen_scrap3-1_Polygon3,linen,33.55,50,74.51,56,83.45,54,80.47
linen_scrap3-1_Polygon5,linen,38.38,60,78.17,63,82.08,60,78.17
linen_scrap2-2_Polygon9,linen,28.82,44,76.33,39,67.65,42,72.86
linen_scrap2-2_Polygon5,linen,37.37,60,80.29,64,85.64,60,80.29
linen_scrap2-2_Polygon7,linen,30.02,49,81.60,44,73.28,44,73.28
linen_scrap2-2_Polygon8,linen,39.57,64,80.87,60,75.82,59,74.55
linen_scrap2-2_Polygon3,linen,40.22,71,88.26,63,78.32,60,74.59
linen_scrap2-2_Polygon4,linen,35.99,60,83.36,62,86.14,57,79.19
linen_scrap2-2_Polygon6,linen,29.28,50,85.37,45,76.83,42,71.71
linen_scrap2-2_Polygon2,linen,38.12,62,81.32,64,83.94,60,78.70
linen_scrap1-2_Polygon3,linen,59.54,112,94.05,100,83.97,96,80.62
linen_scrap1-2_Polygon4,linen,50.95,84,82.44,80,78.51,78,76.55
linen_scrap1-2_Polygon2,linen,52.62,92,87.41,80,76.01,81,76.96
linen_scrap1-2_Polygon5,linen,53.20,90,84.58,88,82.70,86,80.83
linen_scrap1-1_Polygon4,linen,64.21,112,87.22,109,84.88,101,78.65
linen_scrap1-1_Polygon7,linen,57.54,94,81.68,100,86.90,93,80.81
linen_scrap1-1_Polygon6,linen,62.58,112,89.48,100,79.89,107,85.49
linen_scrap1-1_Polygon2,linen,60.96,98,80.38,96,78.73,98,80.38
linen_scrap1-1_Polygon5,linen,68.38,121,88.48,119,87.02,112,81.90
linen_scrap1-1_Polygon3,linen,68.75,112,81.46,110,80.00,119,86.55
linen_scrap3-2_Polygon4,linen,22.16,35,78.96,37,83.47,30,67.68
linen_scrap3-2_Polygon6,linen,18.23,31,85.01,30,82.27,24,65.81
linen_scrap3-2_Polygon3,linen,16.37,23,70.25,24,73.30,20,61.08
linen_scrap3-2_Polygon5,linen,24.52,32,65.25,36,73.41,38,77.49
linen_scrap3-2_Polygon2,linen,14.59,21,71.97,21,71.97,16,54.84
linen_scrap2-1_Polygon11,linen,13.82,18,65.10,16,57.87,15,54.25
linen_scrap2-1_Polygon10,linen,16.73,24,71.75,20,59.79,24,71.75
linen_scrap2-1_Polygon9,linen,15.14,18,59.44,17,56.14,21,69.34
linen_scrap2-1_Polygon8,linen,14.86,18,60.56,20,67.29,23,77.38
linen_scrap2-1_Polygon5,linen,3.18,2,31.40,3,47.10,1,15.70
linen_scrap2-1_Polygon2,linen,20.51,30,73.13,28,68.26,24,58.51
linen_scrap2-1_Polygon4,linen,19.12,29,75.84,30,78.45,28,73.22
linen_scrap2-1_Polygon6,linen,7.76,8,51.52,12,77.29,9,57.96
linen_scrap2-1_Polygon3,linen,16.95,24,70.79,20,58.99,24,70.79
linen_scrap2-1_Polygon7,linen,11.46,18,78.52,16,69.80,13,56.71
linen_scrap2-1_Polygon12,linen,15.22,18,59.13,20,65.70,19,62.41
etsybag2_scraps1_Polygon-3,etsybag2,94.17,167,88.67,162,86.01,152,80.71
etsybag2_scraps1_Polygon-2,etsybag2,65.26,104,79.68,102,78.15,115,88.11
etsybag2_scraps1_Polygon-5,etsybag2,44.64,72,80.64,64,71.68,66,73.92
etsybag2_scraps1_Polygon-4,etsybag2,59.70,88,73.70,105,87.94,93,77.89
