Scrap Type,Scrap ID,Original Area (in²),Triangle Size (in),Scale (px/in),Accepted Triangles,Recovered Area (in²),Theoretical Area (in²),Recovery %
audrey,audrey_scrap5_Polygon-13,7.11,1.00,89.00,6,3.00,3.00,42.17
audrey,audrey_scrap5_Polygon-19,7.21,1.00,89.00,6,3.00,3.00,41.59
audrey,audrey_scrap5_Polygon-6,8.60,1.00,89.00,12,6.00,6.00,69.75
audrey,audrey_scrap5_Polygon-14,7.09,1.00,89.00,6,3.00,3.00,42.31
audrey,audrey_scrap5_Polygon-7,9.34,1.00,89.00,11,5.50,5.50,58.91
audrey,audrey_scrap5_Polygon-2,9.05,1.00,89.00,8,4.00,4.00,44.19
audrey,audrey_scrap5_Polygon-8,8.68,1.00,89.00,11,5.50,5.50,63.37
audrey,audrey_scrap5_Polygon-21,34.59,1.00,89.00,41,20.50,20.50,59.27
audrey,audrey_scrap5_Polygon-15,21.81,1.00,89.00,35,17.50,17.50,80.23
audrey,audrey_scrap5_Polygon-4,6.80,1.00,89.00,7,3.50,3.50,51.46
audrey,audrey_scrap5_Polygon-11,7.54,1.00,89.00,6,3.00,3.00,39.77
audrey,audrey_scrap3_Polygon-18,11.24,1.00,83.00,10,5.00,5.00,44.49
