scrap_id,rectangularity,recovery_percentage,original_area_in2
audrey_scrap7_Polygon-22,0.9918,54.72,12.79
audrey_scrap7_Polygon-20,0.9824,46.55,12.89
audrey_scrap7_Polygon-16,0.9776,47.77,11.51
audrey_scrap7_Polygon-13,0.9591,49.95,12.01
audrey_scrap6_Polygon-5,0.9962,83.43,62.33
audrey_scrap6_Polygon-2,0.9897,84.79,129.14
audrey_scrap6_Polygon-4,0.9904,83.20,48.07
audrey_scrap6_Polygon-3,0.9491,85.78,200.52
audrey_scrap6_Polygon-7,0.9826,76.43,15.70
audrey_scrap6_Polygon-6,0.9826,43.32,13.85
oren_scrap2_Polygon-23,0.8532,44.07,3.40
oren_scrap2_Polygon-13,0.9455,32.32,3.09
oren_scrap2_Polygon-16,0.9104,11.26,4.44
oren_scrap2_Polygon-27,0.7508,73.87,17.60
oren_scrap2_Polygon-26,0.7949,48.95,5.11
oren_scrap2_Polygon-22,0.5000,20.54,2.43
oren_scrap2_Polygon-2,0.9256,77.58,14.82
oren_scrap2_Polygon-6,0.7688,63.48,7.09
oren_scrap2_Polygon-10,0.9885,79.40,40.30
oren_scrap2_Polygon-5,0.8161,44.00,2.27
oren_scrap2_Polygon-9,0.9915,78.25,38.98
oren_scrap2_Polygon-3,0.8690,46.25,4.32
oren_scrap2_Polygon-17,0.9473,66.55,4.51
oren_scrap2_Polygon-4,0.9585,56.18,1.78
oren_scrap2_Polygon-25,0.5000,39.27,5.09
oren_scrap2_Polygon-8,0.6771,28.07,3.56
oren_scrap2_Polygon-24,0.5000,35.26,2.84
oren_scrap1_Polygon-2,0.8901,50.13,7.98
oren_scrap1_Polygon-7,0.5000,20.91,2.39
oren_scrap1_Polygon-4,0.9581,56.25,7.11
oren_scrap1_Polygon-9,0.9457,91.93,510.15
oren_scrap1_Polygon-6,0.9085,73.78,2.71
oren_scrap1_Polygon-3,0.9623,24.15,4.14
oren_scrap1_Polygon-8,0.9437,43.57,4.59
oren_scrap4_Polygon-7,0.5000,56.62,5.30
oren_scrap4_Polygon-8,0.6019,74.86,14.03
oren_scrap4_Polygon-9,0.7860,60.26,9.96
oren_scrap4_Polygon-10,0.8772,82.27,54.70
oren_scrap4_Polygon-11,0.8566,61.59,10.55
oren_scrap4_Polygon-5,0.8255,60.03,10.00
oren_scrap4_Polygon-4,0.9048,76.53,42.47
oren_scrap4_Polygon-6,0.8873,56.54,12.38
oren_scrap3_Polygon-18,0.8390,66.04,8.33
oren_scrap3_Polygon-2,0.6602,45.02,4.44
oren_scrap3_Polygon-12,0.8748,63.73,30.60
oren_scrap3_Polygon-19,0.6303,48.45,5.16
oren_scrap3_Polygon-17,0.8876,71.41,9.10
oren_scrap3_Polygon-16,0.9751,58.99,7.63
oren_scrap3_Polygon-14,0.9195,79.15,7.58
oren_scrap3_Polygon-20,0.8702,40.48,4.94
oren_scrap3_Polygon-15,0.7244,53.04,4.71
oren_scrap3_Polygon-7,0.9877,56.96,10.53
oren_scrap3_Polygon-3,0.8857,64.84,6.94
oren_scrap3_Polygon-11,0.8645,50.41,3.97
oren_scrap3_Polygon-8,0.7637,41.42,3.62
oren_scrap3_Polygon-13,0.6070,73.34,5.45
oren_scrap5_Polygon-3,0.9372,89.73,172.19
oren_scrap5_Polygon-2,0.9824,85.75,186.60
oren_scrap5_Polygon-4,0.6877,76.42,49.73
fabscrap_scraps7_Polygon-3,0.9732,85.48,97.68
fabscrap_scraps7_Polygon-4,0.9860,79.47,31.46
fabscrap_scraps7_Polygon-2,0.7925,66.10,15.13
fabscrap_scraps8_Polygon-5,0.9714,88.86,39.95
fabscrap_scraps8_Polygon-3,0.9550,38.54,2.60
fabscrap_scraps8_Polygon-2,0.9652,83.76,59.10
fabscrap_scraps8_Polygon-6,0.9681,91.05,118.06
fabscrap_scraps10_Polygon-4,0.9659,73.82,5.42
fabscrap_scraps10_Polygon-3,0.9471,35.79,4.19
fabscrap_scraps10_Polygon-10,0.9792,77.53,37.41
fabscrap_scraps10_Polygon-7,0.9450,77.00,19.48
fabscrap_scraps10_Polygon-8,0.9514,66.24,15.85
fabscrap_scraps10_Polygon-2,0.9598,85.39,109.50
fabscrap_scraps10_Polygon-5,0.9660,71.71,5.58
fabscrap_scraps5_Polygon-7,0.9652,25.11,3.98
fabscrap_scraps5_Polygon-5,0.8006,41.47,4.82
fabscrap_scraps5_Polygon-6,0.9563,46.93,4.26
fabscrap_scraps5_Polygon-8,0.9814,77.77,30.86
fabscrap_scraps5_Polygon-2,0.9895,75.92,15.81
fabscrap_scraps5_Polygon-3,0.9830,40.60,4.93
fabscrap_scraps5_Polygon-9,0.9724,59.09,21.15
fabscrap_scraps5_Polygon-4,0.9614,72.97,4.80
fabscrap_scraps6_Polygon-4,0.9654,22.17,4.51
fabscrap_scraps6_Polygon-3,0.9802,37.74,5.30
fabscrap_scraps6_Polygon-2,0.9599,76.03,5.26
fabscrap_scraps9_Polygon-2,0.9861,93.03,125.76
fabscrap_scraps9_Polygon-3,0.9539,81.73,96.65
fabscrap_scraps9_Polygon-4,0.9827,85.42,105.37
bag1_scrap1_Polygon-2,0.9853,83.06,96.92
bag1_scrap1_Polygon-4,0.9337,89.96,135.62
bag1_scrap1_Polygon-3,0.9887,87.60,120.43
bag1_scrap1_Polygon-5,0.6189,81.91,72.64
bag1_scrap4_Polygon-2,0.8102,78.25,26.20
bag1_scrap4_Polygon-7,0.9945,84.40,162.91
bag1_scrap4_Polygon-3,0.9744,85.88,60.55
bag1_scrap4_Polygon-5,0.9774,82.15,36.52
bag1_scrap4_Polygon-4,0.9746,68.29,23.43
bag1_scrap4_Polygon-6,0.7726,75.95,32.26
bag1_scrap3_Polygon-2,0.9856,73.52,27.20
bag1_scrap3_Polygon-4,0.8136,86.13,200.27
bag1_scrap3_Polygon-5,0.9956,75.20,47.87
bag1_scrap3_Polygon-3,0.9891,84.90,134.28
bag1_scrap9_Polygon-5,0.9413,79.11,58.78
bag1_scrap9_Polygon-4,0.8461,77.08,80.44
bag1_scrap9_Polygon-3,0.8247,74.79,160.44
bag1_scrap9_Polygon-2,0.9796,75.17,168.95
bag1_scrap5_Polygon-5,0.9847,88.03,28.40
bag1_scrap5_Polygon-3,0.9831,87.52,51.42
bag1_scrap5_Polygon-6,0.9930,72.10,38.84
bag1_scrap5_Polygon-7,0.9834,89.02,154.45
bag1_scrap5_Polygon-2,0.9888,86.68,57.11
bag1_scrap5_Polygon-4,0.9883,87.85,28.46
bag1_scrap8_Polygon-3,0.9968,74.12,159.88
bag1_scrap8_Polygon-4,0.8627,75.48,160.97
bag1_scrap8_Polygon-2,0.9869,70.61,92.06
bag1_scrap8_Polygon-5,0.8528,80.34,136.92
bag1_scrap2_Polygon-2,0.9877,75.25,158.80
bag1_scrap2_Polygon-6,0.9914,74.23,156.27
